,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,Kristinestad,62.2743,21.376,286.63,67,99,2.51,FI,1662890242
293,Lyngseidet,69.5763,20.2189,282.15,76,100,1.78,NO,1662890242
294,San-Pédro,4.7485,-6.6363,298.76,78,52,3.44,CI,1662890243
295,Luganville,-15.5333,167.1667,298.74,75,24,3.17,VU,1662890243
296,Rock Hill,34.9249,-81.0251,295.42,74,100,2.06,US,1662890243
297,Weiz,47.2167,15.6167,293.22,65,90,1.77,AT,1662890245
298,Jérémie,18.65,-74.1167,300.19,81,96,2.82,HT,1662890246
299,San Miguel de Tucumán,-26.8241,-65.2226,277.15,70,1,2.06,AR,1662890246
300,Aykhal,66.0,111.5,276.38,68,100,3.03,RU,1662890247
301,Hinganghāt,20.5667,78.8333,302.12,79,100,1.57,IN,1662890247
302,Tarata,-17.6167,-66.0167,285.19,68,11,1.75,BO,1662890248
303,Pingliang,35.5392,106.6861,294.99,56,36,3.86,CN,1662890248
304,Takoradze,4.8845,-1.7554,300.06,70,66,3.5,GH,1662890248
305,Nānākuli,21.3906,-158.1547,299.12,74,0,2.53,US,1662890249
306,Plouzané,48.3833,-4.6167,291.33,94,100,5.66,FR,1662890249
307,Half Moon Bay,37.4636,-122.4286,295.86,87,100,2.57,US,1662890249
308,Rapid Valley,44.0625,-103.1463,284.5,73,0,4.47,US,1662890250
309,Sarangani,5.4033,125.4636,301.97,69,100,3.23,PH,1662890250
310,Cayenne,4.9333,-52.3333,298.17,94,75,0.51,GF,1662890250
311,Tamala,52.541,43.2515,288.84,38,55,2.85,RU,1662890251
312,Sørland,67.667,12.6934,284.07,76,100,5.37,NO,1662890251
313,Leshukonskoye,64.8989,45.7622,285.39,64,70,1.68,RU,1662890251
314,Flinders,-34.5833,150.8552,286.75,65,0,5.4,AU,1662889969
315,Shelburne,44.0787,-80.2041,290.79,89,100,2.81,CA,1662890252
316,São Miguel,-5.4667,-35.3667,296.58,74,32,6.03,BR,1662890252
317,Ati,13.2154,18.3353,305.64,42,83,2.06,TD,1662890252
318,Bansang,13.4333,-14.65,296.76,94,96,2.64,GM,1662890253
319,Vilhena,-12.7406,-60.1458,292.95,59,26,1.45,BR,1662890148
320,Batemans Bay,-35.7167,150.1833,285.98,75,0,0.73,AU,1662890254
321,Jining,35.405,116.5814,299.46,52,11,0.58,CN,1662890254
322,Kumul,42.8,93.45,308.5,10,0,0.48,CN,1662890205
323,Pochutla,15.7432,-96.4661,296.94,78,100,1.17,MX,1662890254
324,Erenhot,43.6475,111.9767,302.98,16,8,4.54,CN,1662890119
325,Jiangyou,31.7667,104.7167,298.21,72,87,0.83,CN,1662890255
326,La Ronge,55.1001,-105.2842,284.29,76,40,3.09,CA,1662890255
327,Barão de Melgaço,-16.1944,-55.9675,293.51,57,13,1.71,BR,1662890255
328,Amahai,-3.3333,128.9167,298.79,85,81,0.95,ID,1662890256
329,Muros,42.7762,-9.0603,297.64,76,96,2.77,ES,1662890256
330,Wolfsburg,52.4333,10.8,295.5,74,36,2.76,DE,1662890256
331,Kamenka,51.3223,42.7678,289.98,33,54,4.68,RU,1662890257
332,Lüderitz,-26.6481,15.1594,295.36,43,13,11.24,NA,1662890257
333,Tabas,33.5959,56.9244,310.27,13,27,1.03,IR,1662890257
334,Cap Malheureux,-19.9842,57.6142,297.85,59,2,4.92,MU,1662890258
335,‘Ewa Beach,21.3156,-158.0072,299.12,76,0,1.79,US,1662890258
336,Bambanglipuro,-7.95,110.2833,298.88,85,94,5.59,ID,1662890258
337,Sur,22.5667,59.5289,307.47,43,66,2.97,OM,1662890258
338,Geelong,-38.1471,144.3607,284.3,90,100,5.66,AU,1662890224
339,Pacific Grove,36.6177,-121.9166,294.01,86,99,0.45,US,1662890259
340,Rome,43.2128,-75.4557,291.33,91,100,1.92,US,1662890259
341,Gurupi,-11.7292,-49.0686,299.83,29,31,1.34,BR,1662890092
342,Karratha,-20.7377,116.8463,297.79,48,0,4.26,AU,1662890260
343,Auki,-8.7676,160.7034,297.86,87,48,2.07,SB,1662890260
344,Porto Velho,-8.7619,-63.9039,297.18,94,20,1.54,BR,1662890128
345,Naviraí,-23.065,-54.1906,287.86,53,4,1.24,BR,1662890260
346,Mbanza-Ngungu,-5.25,14.8667,299.49,54,89,3.99,CD,1662890261
347,Ust'-Karsk,52.7011,118.8077,284.2,69,99,1.53,RU,1662890262
348,Xiangxiang,27.7333,112.5333,304.95,38,7,2.47,CN,1662890262
349,Ossora,59.2353,163.0719,282.67,83,80,2.03,RU,1662890262
350,Malakal,9.5334,31.6605,302.14,67,75,3.18,SS,1662890263
351,Omsukchan,62.5333,155.8,278.0,84,100,1.35,RU,1662890263
352,Inhambane,-23.865,35.3833,302.03,45,0,5.74,MZ,1662890263
353,Maragogi,-9.0122,-35.2225,297.56,77,22,4.2,BR,1662890264
354,Zhangaözen,43.3,52.8,292.96,24,0,2.98,KZ,1662890264
355,Santa Maria,-29.6842,-53.8069,275.76,100,0,0.51,BR,1662890264
356,Codrington,-38.2667,141.9667,282.44,74,100,4.6,AU,1662890265
357,Labytnangi,66.6572,66.4183,280.81,80,100,5.55,RU,1662890265
358,Saint-Ambroise,48.5501,-71.3324,287.93,100,3,1.54,CA,1662890265
359,Yanta,36.2411,115.6672,299.86,48,27,0.83,CN,1662890265
360,Erzin,36.9559,36.2,305.48,41,0,3.47,TR,1662890265
361,Mahébourg,-20.4081,57.7,298.31,61,20,5.66,MU,1662890266
362,Haifa,32.8156,34.9892,304.42,59,20,4.63,IL,1662890193
363,High Level,58.5169,-117.136,279.21,70,0,1.54,CA,1662890266
364,Canutama,-6.5339,-64.3831,296.45,74,55,0.59,BR,1662890267
365,Pathein,16.7833,94.7333,302.64,68,96,2.76,MM,1662890267
366,Douglas,41.3,-96.167,284.14,90,0,0.0,US,1662890268
367,Forsytheganj,52.6333,29.7333,284.83,94,100,4.0,BY,1662890268
368,Gbadolite,4.2833,21.0167,298.83,87,89,2.23,CD,1662890269
369,Matanzas,23.0411,-81.5775,298.62,88,100,2.54,CU,1662890112
370,Nantucket,41.2835,-70.0995,292.6,47,100,4.89,US,1662890269
371,Verkhnyaya Maksakovka,61.635,50.9674,284.16,71,40,2.0,RU,1662890270
372,Suriāpet,17.15,79.6167,299.3,83,100,5.61,IN,1662890270
373,Saldanha,-33.0117,17.9442,289.18,71,100,9.11,ZA,1662890067
374,Houndé,11.5,-3.5167,299.96,74,69,4.17,BF,1662890272
375,Karema,-6.8205,30.4389,301.39,50,38,6.29,TZ,1662890272
376,Sullia,12.5667,75.3833,299.14,91,99,2.73,IN,1662890273
377,Al Bardīyah,31.7561,25.0865,302.65,58,0,7.77,LY,1662890273
378,Bilma,18.6853,12.9164,310.25,11,24,2.55,NE,1662890273
379,Santa Ana,33.7456,-117.8678,297.95,85,100,1.54,US,1662890236
380,Rimbey,52.6334,-114.2353,289.44,48,0,2.34,CA,1662890274
381,Port Augusta,-32.5,137.7667,285.23,69,1,4.6,AU,1662890274
382,Nizhnevartovsk,60.9344,76.5531,282.16,66,20,2.0,RU,1662890275
383,Samarkand,39.6542,66.9597,295.83,35,81,4.12,UZ,1662890275
384,La Palma,33.8464,-118.0467,298.3,86,100,1.54,US,1662890275
385,Belaya Gora,68.5333,146.4167,281.06,66,100,3.23,RU,1662890276
386,Riyadh,24.6877,46.7219,314.23,8,4,5.31,SA,1662890003
387,Lompoc,34.6391,-120.4579,296.36,84,93,1.0,US,1662890276
388,Oussouye,12.485,-16.5469,299.12,77,100,2.88,SN,1662890277
389,Balaipungut,1.05,101.2833,298.62,89,100,0.56,ID,1662890277
390,Letnyaya Stavka,45.4306,43.4472,296.41,31,86,8.89,RU,1662890277
391,Oddur,4.1213,43.8894,305.95,34,80,8.14,SO,1662890278
392,Cabedelo,-6.9811,-34.8339,295.52,79,54,5.53,BR,1662890278
393,Kasongo-Lunda,-6.4667,16.8167,306.21,38,6,1.83,CD,1662890278
394,Roblin,51.23,-101.3565,280.21,43,6,3.36,CA,1662890279
395,Indianola,41.3581,-93.5574,285.42,88,51,3.56,US,1662890279
396,Myaundzha,63.0494,147.1858,274.99,59,43,3.77,RU,1662890279
397,Toamasina,-18.1667,49.3833,298.15,73,40,3.6,MG,1662890280
398,Antofagasta,-23.65,-70.4,286.75,85,55,2.84,CL,1662890280
399,Kenai,60.5544,-151.2583,282.64,93,100,1.02,US,1662890281
400,Kitim,32.4383,35.8956,302.56,22,0,4.72,JO,1662890281
401,Stromness,58.965,-3.296,288.13,89,99,5.81,GB,1662890281
402,Puerto Quijarro,-17.7833,-57.7667,291.54,60,5,1.32,BO,1662890282
403,Kiryat Gat,31.61,34.7642,306.7,31,0,5.28,IL,1662890282
404,Hāgere Hiywet,8.9833,37.85,290.74,86,99,0.57,ET,1662890282
405,Eyrarbakki,63.863,-21.1481,282.71,87,80,6.5,IS,1662890283
406,Constitución,-35.3333,-72.4167,282.8,82,85,2.83,CL,1662890283
407,Holme,56.1138,10.1725,290.34,70,17,4.08,DK,1662890284
408,Chul'man,56.8479,124.9104,278.8,72,67,1.97,RU,1662890284
409,Anadyr,64.75,177.4833,280.43,70,75,4.0,RU,1662890285
410,Dunedin,-45.8742,170.5036,282.48,90,100,1.79,NZ,1662890285
411,Mvomero,-6.25,38.6667,303.79,42,74,3.66,TZ,1662890285
412,Rundu,-17.9333,19.7667,305.9,9,0,3.0,NA,1662890286
413,Alto Araguaia,-17.3147,-53.2153,293.26,55,46,2.32,BR,1662890287
414,Sobolevo,54.4299,31.8996,280.81,94,100,7.49,RU,1662890287
415,Necochea,-38.5473,-58.7368,278.7,56,0,4.14,AR,1662890288
416,Bonthe,7.5264,-12.505,299.25,82,100,4.0,SL,1662890288
417,Yiyang,28.5892,112.3283,304.42,45,3,1.63,CN,1662890288
418,Hong Kong,22.2855,114.1577,305.18,75,28,4.92,HK,1662890102
419,Marsh Harbour,26.5412,-77.0636,301.98,72,1,1.99,BS,1662890289
420,Paamiut,61.994,-49.6678,279.33,86,97,7.69,GL,1662890289
421,Inuvik,68.3499,-133.7218,276.71,96,100,2.06,CA,1662890290
422,Makkah al Mukarramah,21.4267,39.8261,313.96,24,79,5.56,SA,1662890290
423,Cologne,50.9333,6.95,291.81,82,100,2.57,DE,1662890291
424,Ledyard Center,41.4398,-72.0142,293.22,75,99,1.95,US,1662890291
425,Erdenet,49.0333,104.0833,289.53,68,73,1.34,MN,1662890291
426,Port Shepstone,-30.7414,30.455,293.9,70,95,10.84,ZA,1662890291
427,Port Lincoln,-34.7333,135.8667,284.54,73,2,3.22,AU,1662890292
428,Port Hedland,-20.3167,118.5667,299.18,50,0,3.6,AU,1662890094
429,Kolokani,13.5728,-8.0339,299.65,76,86,1.94,ML,1662890292
430,Tautira,-17.7333,-149.15,298.69,72,5,7.19,PF,1662890293
431,Meulaboh,4.1363,96.1285,301.42,68,93,2.78,ID,1662890293
432,Neuquén,-38.9516,-68.0591,278.09,65,0,2.06,AR,1662890294
433,Kuybysheve,47.358,36.6491,294.72,30,100,8.18,UA,1662890294
434,Yangi Marg`ilon,40.4272,71.7189,298.55,29,40,4.12,UZ,1662890294
435,Abu Dhabi,24.4667,54.3667,314.21,50,0,2.06,AE,1662890132
436,Mazatlán,23.2167,-106.4167,301.43,85,68,1.79,MX,1662890295
437,Ust-Maya,60.4167,134.5333,277.83,78,100,1.83,RU,1662890295
438,Henties Bay,-22.116,14.2845,288.58,76,70,4.66,NA,1662890295
439,Geraldton,-28.7667,114.6,293.38,68,0,4.12,AU,1662890296
440,Hammerfest,70.6634,23.6821,280.4,100,75,2.57,NO,1662890296
441,Yegorlykskaya,46.5656,40.6562,295.68,24,68,9.05,RU,1662890296
442,Caravelas,-17.7125,-39.2481,294.26,74,13,2.76,BR,1662890296
443,Lokosovo,61.1333,74.8167,282.75,60,85,1.13,RU,1662890297
444,Goundam,16.4145,-3.6708,306.01,46,9,5.35,ML,1662890297
445,Usinsk,65.9939,57.5281,283.42,77,100,7.58,RU,1662890297
446,Tuatapere,-46.1333,167.6833,279.58,87,96,2.14,NZ,1662890297
447,Umm Kaddadah,13.6017,26.6876,306.87,33,51,1.83,SD,1662890298
448,Pemangkat,1.1667,108.9667,301.46,71,62,2.77,ID,1662890298
449,Port-Cartier,50.0334,-66.8654,286.34,95,34,0.88,CA,1662890299
450,Coos Bay,43.3665,-124.2179,288.7,95,68,0.87,US,1662890299
451,Esim,4.8699,-2.2405,299.42,73,50,3.89,GH,1662890299
452,Bloemhof,-27.6469,25.607,303.73,9,21,8.18,ZA,1662890300
453,Poum,-20.2333,164.0167,297.76,82,0,4.87,NC,1662890300
454,Biak,-0.9131,122.8766,296.57,91,100,3.07,ID,1662890300
455,Exeter,50.7236,-3.5275,293.33,78,40,4.63,GB,1662890268
456,Along,28.1667,94.7667,305.36,55,0,1.78,IN,1662890301
457,Hobyo,5.3505,48.5268,301.93,65,45,12.26,SO,1662890301
458,Naberera,-4.2,36.9333,297.82,39,13,5.0,TZ,1662890301
459,Caldwell,43.6629,-116.6874,291.44,51,0,0.0,US,1662890302
460,Māngrol,21.1167,70.1167,303.07,69,78,2.74,IN,1662890302
461,Haines Junction,60.7522,-137.5108,271.12,93,23,0.51,CA,1662890302
462,Kruisfontein,-34.0033,24.7314,293.64,57,100,10.15,ZA,1662890303
463,Birin,26.8865,88.0718,294.78,77,60,2.42,NP,1662890303
464,Gwadar,25.1216,62.3254,303.76,65,38,6.89,PK,1662890303
465,Orlik,52.5178,99.825,290.62,37,97,3.77,RU,1662890303
466,Ferrol,43.4832,-8.2369,297.92,73,75,0.57,ES,1662890041
467,Namatanai,-3.6667,152.4333,300.33,67,52,6.2,PG,1662890304
468,Khanpur,28.6453,70.6567,314.3,24,2,3.36,PK,1662890304
469,Vao,-22.6667,167.4833,296.14,81,68,1.85,NC,1662890305
470,Nanortalik,60.1432,-45.2371,279.06,85,95,3.82,GL,1662890305
471,Kennett,36.2362,-90.0556,295.12,100,100,0.0,US,1662890305
472,Norsup,-16.0667,167.3833,299.13,74,3,5.66,VU,1662890306
473,Acajutla,13.5928,-89.8275,298.17,86,100,2.0,SV,1662890306
474,Luanda,-8.8368,13.2343,296.15,83,40,2.06,AO,1662890306
475,Dunmore Town,25.5,-76.65,302.07,72,0,2.54,BS,1662890306
476,Kiama,-34.6833,150.8667,288.71,61,0,3.13,AU,1662890307
477,Port Blair,11.6667,92.75,304.17,66,40,6.69,IN,1662890307
478,Camargo,27.6667,-105.1667,295.55,54,2,3.25,MX,1662890307
479,San Quintín,30.4833,-115.95,296.43,84,0,1.56,MX,1662890308
480,Hīt,33.6416,42.8251,314.63,9,0,1.5,IQ,1662890308
481,Kaohsiung City,22.6163,120.3133,303.17,72,75,4.12,TW,1662889680
482,Kununurra,-15.7667,128.7333,304.14,42,18,4.12,AU,1662890308
483,Puerto Escondido,15.85,-97.0667,299.01,86,100,2.27,MX,1662890309
484,Kommunar,59.6206,30.39,288.99,42,7,2.66,RU,1662890309
485,Dwārka,22.2394,68.9678,303.57,72,96,2.83,IN,1662890310
486,Río Gallegos,-51.6226,-69.2181,276.18,81,0,1.54,AR,1662890310
487,Itarema,-2.9248,-39.9167,298.64,75,71,6.2,BR,1662890310
488,Rosarito,32.3333,-117.0333,297.27,87,85,0.69,MX,1662890311
489,Namangan,40.9983,71.6726,298.4,27,75,4.12,UZ,1662890312
490,Ashington,50.9331,-0.3909,294.43,85,40,3.6,GB,1662890312
491,Zhuhai,22.2769,113.5678,305.03,74,20,4.63,CN,1662890172
492,Gadung,6.8025,124.02,300.73,76,64,1.58,PH,1662890312
493,Todos Santos,23.45,-110.2167,297.4,95,8,2.62,MX,1662890313
494,Onufriyivka,48.9072,33.4487,284.68,81,100,3.98,UA,1662890313
495,Mayo,38.8876,-76.5119,296.5,89,100,0.45,US,1662890313
496,Forestville,38.8451,-76.875,295.66,93,100,0.0,US,1662890313
497,Bodmin,50.4715,-4.7243,293.0,88,40,7.72,GB,1662890314
498,Lyuban',52.7985,28.0048,284.3,90,100,4.41,BY,1662890314
499,Pontianak,-0.0333,109.3333,305.14,66,75,4.12,ID,1662890314
500,Morón,-34.6534,-58.6198,283.01,81,0,1.74,AR,1662890315
501,Port Hardy,50.6996,-127.4199,284.15,93,20,1.03,CA,1662890315
502,Beringovskiy,63.05,179.3167,280.59,84,100,9.29,RU,1662890315
503,Sovetskiy,61.3614,63.5842,282.97,65,89,2.09,RU,1662890315
504,Rocha,-34.4833,-54.3333,276.32,86,0,1.28,UY,1662890316
505,Araouane,18.9048,-3.5265,308.92,30,12,4.65,ML,1662890316
506,Båtsfjord,70.6345,29.7185,280.11,93,75,1.54,NO,1662890316
507,Dickinson,29.4608,-95.0513,299.21,91,0,1.87,US,1662890316
508,Aitape,-3.1374,142.3475,298.14,83,100,1.82,PG,1662890317
509,Arkhangel’skoye,55.8549,35.3287,287.43,38,100,5.15,RU,1662890317
510,Soc Trang,9.6033,105.98,299.03,89,100,2.44,VN,1662890021
511,Coquimbo,-29.9533,-71.3436,285.0,87,100,0.51,CL,1662890317
512,Brunsbüttel,53.9,9.15,291.28,80,3,2.24,DE,1662890318
513,Luba,3.4568,8.5547,300.09,82,100,0.84,GQ,1662890318
514,Pangody,65.85,74.4859,281.59,49,100,4.6,RU,1662890319
515,Zhezkazgan,47.8043,67.7144,285.14,76,75,8.0,KZ,1662890319
516,Ipixuna,-1.7625,-48.8043,296.29,91,80,1.25,BR,1662890319
517,Kautokeino,69.0125,23.0412,282.69,74,100,1.5,NO,1662890320
518,Koungheul,13.9833,-14.8,297.71,93,100,4.13,SN,1662890320
519,Kotelnikowo,47.6317,43.1461,293.65,21,48,7.47,RU,1662890320
520,Greeley,40.4233,-104.7091,283.33,92,0,0.08,US,1662890321
521,Galveston,29.3669,-94.9669,299.24,93,2,2.04,US,1662890321
522,Ketchikan,55.3422,-131.6461,284.19,81,81,3.49,US,1662890321
523,Hambantota,6.1241,81.1185,307.34,55,40,7.72,LK,1662890037
524,Wanlaweyn,2.6185,44.8938,303.51,49,93,8.35,SO,1662890322
525,Martinsville,36.6915,-79.8725,293.9,97,100,0.0,US,1662890323
526,Marsá Maţrūḩ,31.3525,27.2453,302.26,70,20,6.17,EG,1662890323
527,Nizhniy Kuranakh,58.8353,125.4869,279.03,86,53,1.11,RU,1662890323
528,Kano,12.0001,8.5167,298.49,74,97,2.55,NG,1662890324
529,Araceli,10.5529,119.9913,301.7,74,45,3.51,PH,1662890324
530,Winona,43.9666,-91.7668,285.04,100,100,2.06,US,1662890324
531,Bitung,1.4451,125.1824,301.62,81,100,2.44,ID,1662890245
532,Killybegs,54.6333,-8.45,287.99,78,100,4.28,IE,1662890325
533,Daru,-9.0763,143.2092,299.15,90,80,5.11,PG,1662890325
534,Ganzhou,28.8184,115.4327,302.46,49,54,3.61,CN,1662890325
535,Zambezi,-13.5432,23.1047,307.37,10,0,2.64,ZM,1662890326
536,Tire,38.0888,27.7351,309.73,22,0,2.59,TR,1662890326
537,Alofi,-19.0595,-169.9187,294.09,94,67,0.51,NU,1662890326
538,Acaraú,-2.8856,-40.12,298.65,75,76,6.76,BR,1662890326
539,Pringsewu,-5.3582,104.9744,298.74,90,91,1.65,ID,1662890327
540,Boa Vista,2.8197,-60.6733,298.14,84,75,1.03,BR,1662890327
541,Aklavik,68.2191,-135.0107,278.93,93,100,2.58,CA,1662890327
542,Mujiayingzi,42.1167,118.7833,298.41,32,2,4.0,CN,1662890328
543,Guangyuan,32.442,105.823,298.54,69,29,1.1,CN,1662890328
544,Saint Anthony,45.0205,-93.218,284.9,92,0,0.0,US,1662890328
545,Camacupa,-12.0167,17.4833,303.32,11,0,2.41,AO,1662890329
546,Djebeniana,35.035,10.9081,305.04,50,5,2.79,TN,1662890329
547,Ahipara,-35.1667,173.1667,287.74,96,100,2.47,NZ,1662890329
548,São Desidério,-12.3633,-44.9733,295.91,37,11,0.75,BR,1662890329
549,Denizli Province,37.8402,29.0698,307.3,21,0,2.03,TR,1662890152
550,Galle,6.0367,80.217,300.48,79,49,5.88,LK,1662890183
551,Oktyabr'skiy,54.4815,53.471,286.77,54,90,3.19,RU,1662890330
552,Panama City,8.9936,-79.5197,298.8,92,75,1.03,PA,1662890135
553,Gao,16.6362,1.637,305.97,43,60,4.19,ML,1662890331
554,Urmia,37.5527,45.0761,298.9,36,20,4.12,IR,1662890331
555,Port-Gentil,-0.7193,8.7815,301.13,69,40,6.69,GA,1662890331
556,Perth,-31.9333,115.8333,295.15,43,0,3.6,AU,1662889886
557,Kralendijk,12.15,-68.2667,301.93,75,16,8.36,BQ,1662890332
558,Nyuksenitsa,60.4128,44.2397,282.73,82,99,2.22,RU,1662890333
559,Kushiro,42.975,144.3747,290.68,94,75,3.09,JP,1662890154
560,Podari,44.25,23.7833,297.91,44,0,3.6,RO,1662890333
561,Diamantino,-14.4086,-56.4461,294.05,52,41,1.41,BR,1662890333
562,Puerto Madero,14.7208,-92.4215,298.18,85,100,2.21,MX,1662890334
563,Yārāda,17.65,83.2667,303.33,74,75,6.69,IN,1662890334
564,Thunder Bay,48.4001,-89.3168,280.1,93,0,1.54,CA,1662890334
565,Philadelphia,39.9523,-75.1638,294.85,89,100,0.77,US,1662890335
566,Boende,-0.2167,20.8667,296.89,94,98,1.68,CD,1662890335
567,Mpulungu,-8.7623,31.1141,300.85,45,29,4.48,ZM,1662890335
568,Sherlovaya Gora,50.5667,116.25,284.57,71,81,3.89,RU,1662890336
569,Honggang,46.4667,124.8667,296.0,48,98,4.13,CN,1662890336
570,Zhuanghe,39.7008,122.9911,293.98,80,56,2.28,CN,1662890336
571,Puksoozero,62.5903,40.6066,284.98,77,87,2.8,RU,1662890336
572,Letlhakane,-21.4167,25.5833,304.73,10,0,3.97,BW,1662890338
573,Vanderhoof,54.0166,-124.0198,283.67,77,0,1.04,CA,1662890338
574,Lieksa,63.3167,30.0167,286.25,60,99,2.93,FI,1662890338
575,Linjiang,41.8069,126.9078,294.27,78,52,0.75,CN,1662890339
576,Kalmunai,7.4167,81.8167,303.19,63,78,6.17,LK,1662890339
577,Mbalmayo,3.5167,11.5,297.33,68,96,2.58,CM,1662890340
578,Bandrele,-12.9067,45.1914,300.01,69,0,2.57,YT,1662890340
579,Néa Výssa,41.5833,26.5333,301.69,40,52,2.37,GR,1662890340
580,Sharlyk,52.9167,54.75,285.79,49,92,5.01,RU,1662890340
581,Neijiang,29.5835,105.0622,301.46,59,68,1.65,CN,1662890341
582,Olot,42.181,2.4901,299.4,42,3,1.66,ES,1662890341
583,Netrakona,24.8833,90.7167,302.65,72,99,4.22,BD,1662890342
584,Savalou,7.9281,1.9756,298.76,80,98,1.96,BJ,1662890342
